win,lose,probability
Oklahoma City Thunder,New Orleans Pelicans,0.801816201
San Antonio Spurs,Los Angeles Clippers,0.635119399
Dallas Mavericks,Phoenix Suns,0.869988658
Portland Trail Blazers,Chicago Bulls,0.923024846
Los Angeles Lakers,Washington Wizards,0.654093752
Denver Nuggets,Sacramento Kings,0.756934773
Philadelphia 76ers,Indiana Pacers,0.729173379
Houston Rockets,Atlanta Hawks,0.893363592
Milwaukee Bucks,Charlotte Hornets,0.812424775
Miami Heat,Brooklyn Nets,0.502226347
Minnesota Timberwolves,Memphis Grizzlies,0.531988534
Boston Celtics,New York Knicks,0.945785092
Los Angeles Lakers,Dallas Mavericks,0.648154169
San Antonio Spurs,Detroit Pistons,0.686834901
Oklahoma City Thunder,New Orleans Pelicans,0.734137188
Golden State Warriors,Orlando Magic,0.69831884
Toronto Raptors,Utah Jazz,0.735109314
Los Angeles Clippers,Washington Wizards,0.728072528
Charlotte Hornets,Phoenix Suns,0.896150625
Philadelphia 76ers,Utah Jazz,0.659139484
Golden State Warriors,Atlanta Hawks,0.899780885
Indiana Pacers,Memphis Grizzlies,0.564266584
Milwaukee Bucks,New York Knicks,0.964823142
Sacramento Kings,Chicago Bulls,0.784050184
Detroit Pistons,Cleveland Cavaliers,0.881509281
Orlando Magic,Washington Wizards,0.633803748
New Orleans Pelicans,Dallas Mavericks,0.520230125
Toronto Raptors,Miami Heat,0.811759048
San Antonio Spurs,Houston Rockets,0.521983794
Denver Nuggets,Los Angeles Lakers,0.750468875
Portland Trail Blazers,Los Angeles Clippers,0.556837547
Golden State Warriors,Charlotte Hornets,0.764150754
Milwaukee Bucks,Detroit Pistons,0.753054817
Orlando Magic,Phoenix Suns,0.923539137
Brooklyn Nets,Atlanta Hawks,0.689881648
Boston Celtics,Miami Heat,0.667950102
Memphis Grizzlies,Chicago Bulls,0.815036044
Oklahoma City Thunder,Indiana Pacers,0.688237373
Minnesota Timberwolves,Dallas Mavericks,0.527733633
Utah Jazz,Los Angeles Lakers,0.639584783
Portland Trail Blazers,Sacramento Kings,0.785893504
Philadelphia 76ers,Washington Wizards,0.789014741
Denver Nuggets,New York Knicks,0.962526533
Toronto Raptors,Houston Rockets,0.669100437
New Orleans Pelicans,Phoenix Suns,0.85989223
Charlotte Hornets,Brooklyn Nets,0.554693773
Orlando Magic,Cleveland Cavaliers,0.92156944
Indiana Pacers,Detroit Pistons,0.571042983
Denver Nuggets,Boston Celtics,0.546897355
Golden State Warriors,Chicago Bulls,0.951103985
Miami Heat,Washington Wizards,0.627200216
Oklahoma City Thunder,Minnesota Timberwolves,0.784631208
Milwaukee Bucks,Los Angeles Clippers,0.727941015
San Antonio Spurs,Sacramento Kings,0.768494761
Portland Trail Blazers,Los Angeles Lakers,0.706024242
New Orleans Pelicans,Dallas Mavericks,0.501556475
Indiana Pacers,New York Knicks,0.921915771
Philadelphia 76ers,Cleveland Cavaliers,0.956621292
Houston Rockets,Phoenix Suns,0.961356041
Utah Jazz,Memphis Grizzlies,0.726305817
Denver Nuggets,Brooklyn Nets,0.71012189
Charlotte Hornets,Atlanta Hawks,0.74398432
Miami Heat,Chicago Bulls,0.830228571
Toronto Raptors,Philadelphia 76ers,0.521368525
Los Angeles Clippers,Washington Wizards,0.668328183
Sacramento Kings,Dallas Mavericks,0.536866216
Portland Trail Blazers,Oklahoma City Thunder,0.573053925
Los Angeles Lakers,Minnesota Timberwolves,0.635750105
Indiana Pacers,Los Angeles Clippers,0.502588733
Boston Celtics,Cleveland Cavaliers,0.936560444
Toronto Raptors,Chicago Bulls,0.952642653
Houston Rockets,Sacramento Kings,0.80057139
Milwaukee Bucks,Orlando Magic,0.756993142
Detroit Pistons,New Orleans Pelicans,0.511535764
Minnesota Timberwolves,Phoenix Suns,0.875972193
Oklahoma City Thunder,Utah Jazz,0.502066918
Golden State Warriors,Memphis Grizzlies,0.853901388
Charlotte Hornets,Washington Wizards,0.610136007
Miami Heat,Atlanta Hawks,0.757518332
Philadelphia 76ers,Denver Nuggets,0.55309159
Portland Trail Blazers,New York Knicks,0.951759553
Houston Rockets,Cleveland Cavaliers,0.956151624
Boston Celtics,Indiana Pacers,0.549521124
Orlando Magic,Los Angeles Lakers,0.560490679
Toronto Raptors,Los Angeles Clippers,0.763211927
Brooklyn Nets,Charlotte Hornets,0.545282149
Atlanta Hawks,Chicago Bulls,0.673833256
Utah Jazz,Minnesota Timberwolves,0.655957177
Memphis Grizzlies,Phoenix Suns,0.882187594
Milwaukee Bucks,New Orleans Pelicans,0.854618839
Oklahoma City Thunder,Sacramento Kings,0.711036705
Golden State Warriors,New York Knicks,0.969795634
Philadelphia 76ers,Boston Celtics,0.552442836
San Antonio Spurs,Cleveland Cavaliers,0.944723877
Detroit Pistons,Dallas Mavericks,0.566806273
Denver Nuggets,Portland Trail Blazers,0.605613252
Los Angeles Lakers,Miami Heat,0.5051931
Houston Rockets,Orlando Magic,0.609328424
Philadelphia 76ers,New Orleans Pelicans,0.831490187
Indiana Pacers,Atlanta Hawks,0.759953363
Charlotte Hornets,Chicago Bulls,0.835513692
Milwaukee Bucks,Memphis Grizzlies,0.747884278
Golden State Warriors,Utah Jazz,0.624547714
Los Angeles Clippers,Minnesota Timberwolves,0.621439141
Sacramento Kings,New York Knicks,0.856604299
San Antonio Spurs,Phoenix Suns,0.950501833
Toronto Raptors,Brooklyn Nets,0.846125536
Los Angeles Clippers,Chicago Bulls,0.891568307
Memphis Grizzlies,Washington Wizards,0.579955704
Miami Heat,Dallas Mavericks,0.622978745
Milwaukee Bucks,Cleveland Cavaliers,0.963332575
Denver Nuggets,Oklahoma City Thunder,0.62698041
Houston Rockets,Detroit Pistons,0.794686231
Orlando Magic,New Orleans Pelicans,0.623214532
Indiana Pacers,Charlotte Hornets,0.620576822
Los Angeles Lakers,Atlanta Hawks,0.752563903
Philadelphia 76ers,Brooklyn Nets,0.714711774
Denver Nuggets,New York Knicks,0.961099726
Golden State Warriors,Sacramento Kings,0.856599865
Detroit Pistons,Washington Wizards,0.573214873
Toronto Raptors,Cleveland Cavaliers,0.969370373
Houston Rockets,San Antonio Spurs,0.604996476
Miami Heat,Memphis Grizzlies,0.537103735
Milwaukee Bucks,Dallas Mavericks,0.848186026
Oklahoma City Thunder,Chicago Bulls,0.919827323
Portland Trail Blazers,Phoenix Suns,0.956391425
Charlotte Hornets,Sacramento Kings,0.582022619
Indiana Pacers,Los Angeles Lakers,0.557679068
Atlanta Hawks,New York Knicks,0.780516823
Brooklyn Nets,New Orleans Pelicans,0.530242494
Utah Jazz,Orlando Magic,0.623453569
Los Angeles Clippers,Phoenix Suns,0.936561741
Charlotte Hornets,Cleveland Cavaliers,0.894191174
Toronto Raptors,Detroit Pistons,0.796095377
Philadelphia 76ers,Miami Heat,0.750305184
Washington Wizards,Chicago Bulls,0.755613821
Minnesota Timberwolves,New Orleans Pelicans,0.572347242
Oklahoma City Thunder,Memphis Grizzlies,0.774584143
Denver Nuggets,Orlando Magic,0.73726181
Boston Celtics,Dallas Mavericks,0.731532627
Golden State Warriors,Portland Trail Blazers,0.551394469
Utah Jazz,Atlanta Hawks,0.815084784
Milwaukee Bucks,Los Angeles Lakers,0.769518437
San Antonio Spurs,Brooklyn Nets,0.748080925
Houston Rockets,Los Angeles Clippers,0.560643978
Memphis Grizzlies,Cleveland Cavaliers,0.879969103
Indiana Pacers,Sacramento Kings,0.658348549
Boston Celtics,Detroit Pistons,0.734377031
Toronto Raptors,Washington Wizards,0.87355466
Miami Heat,New York Knicks,0.889455292
Oklahoma City Thunder,Phoenix Suns,0.956071209
Philadelphia 76ers,Dallas Mavericks,0.824244444
Denver Nuggets,Minnesota Timberwolves,0.82663936
Portland Trail Blazers,Orlando Magic,0.691432039
Golden State Warriors,New Orleans Pelicans,0.873120868
Utah Jazz,Charlotte Hornets,0.614004052
Brooklyn Nets,Atlanta Hawks,0.746734565
Detroit Pistons,Chicago Bulls,0.796085162
Philadelphia 76ers,Washington Wizards,0.828000249
Milwaukee Bucks,New York Knicks,0.964343965
Memphis Grizzlies,Sacramento Kings,0.551266601
San Antonio Spurs,Los Angeles Clippers,0.635119399
Houston Rockets,Phoenix Suns,0.957030815
Portland Trail Blazers,Minnesota Timberwolves,0.792001467
Toronto Raptors,Dallas Mavericks,0.870638175
Boston Celtics,Charlotte Hornets,0.708778704
Milwaukee Bucks,Indiana Pacers,0.762331338
Oklahoma City Thunder,Los Angeles Clippers,0.648075166
Denver Nuggets,Los Angeles Lakers,0.672886085
Atlanta Hawks,Cleveland Cavaliers,0.774629686
Philadelphia 76ers,Detroit Pistons,0.747585059
Toronto Raptors,Indiana Pacers,0.707712748
Washington Wizards,New York Knicks,0.868479131
Orlando Magic,Chicago Bulls,0.864264989
Utah Jazz,Miami Heat,0.596724191
San Antonio Spurs,Memphis Grizzlies,0.680865435
Denver Nuggets,Phoenix Suns,0.96205966
Portland Trail Blazers,New Orleans Pelicans,0.808741714
Houston Rockets,Sacramento Kings,0.732283287
Golden State Warriors,Minnesota Timberwolves,0.861047377
Toronto Raptors,Boston Celtics,0.723377841
Philadelphia 76ers,Milwaukee Bucks,0.540304564
Golden State Warriors,Houston Rockets,0.662731972
Los Angeles Clippers,Los Angeles Lakers,0.531285937
Denver Nuggets,New Orleans Pelicans,0.841150991
Detroit Pistons,Washington Wizards,0.573214873
Brooklyn Nets,New York Knicks,0.883637776
San Antonio Spurs,Dallas Mavericks,0.752366623
Oklahoma City Thunder,Memphis Grizzlies,0.774584143
Sacramento Kings,Minnesota Timberwolves,0.535511542
Portland Trail Blazers,Utah Jazz,0.524640652
Boston Celtics,Cleveland Cavaliers,0.936560444
Oklahoma City Thunder,Charlotte Hornets,0.662609243
Philadelphia 76ers,Orlando Magic,0.64487865
Milwaukee Bucks,Atlanta Hawks,0.878818367
Indiana Pacers,Miami Heat,0.515211161
Golden State Warriors,Phoenix Suns,0.973696996
Denver Nuggets,Memphis Grizzlies,0.818097676
Toronto Raptors,Boston Celtics,0.6193614
Indiana Pacers,New Orleans Pelicans,0.616324296
Atlanta Hawks,Chicago Bulls,0.673833256
Houston Rockets,Brooklyn Nets,0.78218435
Philadelphia 76ers,Miami Heat,0.702771256
Minnesota Timberwolves,Cleveland Cavaliers,0.856761398
Washington Wizards,New York Knicks,0.835720077
Golden State Warriors,Dallas Mavericks,0.867379688
Milwaukee Bucks,Orlando Magic,0.756993142
San Antonio Spurs,Detroit Pistons,0.761944491
Sacramento Kings,Phoenix Suns,0.87321469
Portland Trail Blazers,Los Angeles Lakers,0.706024242
Los Angeles Clippers,Utah Jazz,0.518193634
Toronto Raptors,Oklahoma City Thunder,0.69209522
Denver Nuggets,Sacramento Kings,0.821319077
Memphis Grizzlies,Charlotte Hornets,0.510459329
Houston Rockets,New Orleans Pelicans,0.754272252
Los Angeles Lakers,Dallas Mavericks,0.648154169
Orlando Magic,Atlanta Hawks,0.802667187
Miami Heat,Washington Wizards,0.600973455
Milwaukee Bucks,Chicago Bulls,0.940162652
Minnesota Timberwolves,Brooklyn Nets,0.509623633
Utah Jazz,Detroit Pistons,0.723381315
Portland Trail Blazers,Phoenix Suns,0.957889396
Boston Celtics,Charlotte Hornets,0.62798859
Philadelphia 76ers,Indiana Pacers,0.647486345
Los Angeles Clippers,Sacramento Kings,0.631809425
Houston Rockets,Denver Nuggets,0.537012385
Golden State Warriors,San Antonio Spurs,0.57610961
Toronto Raptors,Cleveland Cavaliers,0.969370373
Oklahoma City Thunder,Dallas Mavericks,0.793611218
Orlando Magic,Washington Wizards,0.633803748
Portland Trail Blazers,New York Knicks,0.956924926
Milwaukee Bucks,Minnesota Timberwolves,0.841105146
Los Angeles Lakers,Phoenix Suns,0.912485359
Charlotte Hornets,Cleveland Cavaliers,0.894191174
Denver Nuggets,Indiana Pacers,0.642356116
Toronto Raptors,Miami Heat,0.757095735
Utah Jazz,Chicago Bulls,0.905212302
Golden State Warriors,Minnesota Timberwolves,0.795227234
Brooklyn Nets,Dallas Mavericks,0.564430025
San Antonio Spurs,Oklahoma City Thunder,0.548300309
Sacramento Kings,Memphis Grizzlies,0.520938533
Los Angeles Clippers,Detroit Pistons,0.696693539
Boston Celtics,Atlanta Hawks,0.856817556
Orlando Magic,Miami Heat,0.577585961
Portland Trail Blazers,Washington Wizards,0.759774827
Houston Rockets,Philadelphia 76ers,0.531437874
New York Knicks,Phoenix Suns,0.576823298
Los Angeles Lakers,New Orleans Pelicans,0.659661923
Los Angeles Clippers,Memphis Grizzlies,0.699783095
Toronto Raptors,Brooklyn Nets,0.767575649
Utah Jazz,Orlando Magic,0.531933341
Indiana Pacers,Atlanta Hawks,0.759953363
Oklahoma City Thunder,Cleveland Cavaliers,0.951494888
Boston Celtics,Chicago Bulls,0.910189644
Denver Nuggets,Washington Wizards,0.785261114
Charlotte Hornets,Dallas Mavericks,0.577295068
Golden State Warriors,Detroit Pistons,0.852062579
Milwaukee Bucks,San Antonio Spurs,0.660662537
